id,member_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_amnt,loan_status
1069530,1291365.0,7000.0, 36 months, 15.96%,245.97,C,C5,7 years,RENT,34000.0,Source Verified,credit_card,6.35,0.0,1.0,6.0,0.0,6113.0,60.5%,6.0,260.74,Fully Paid
1069522,1304589.0,12400.0, 36 months, 10.65%,403.91,B,B2,10+ years,RENT,41000.0,Not Verified,credit_card,11.8,0.0,2.0,9.0,0.0,11095.0,57.2%,12.0,417.61,Fully Paid
1069361,1304255.0,10800.0, 36 months,  9.91%,348.03,B,B1,2 years,RENT,55596.0,Source Verified,moving,5.5,0.0,0.0,7.0,0.0,2535.0,13.3%,18.0,3483.79,Fully Paid
1069357,1304251.0,15000.0, 36 months,  7.90%,469.36,A,A4,1 year,RENT,45000.0,Verified,debt_consolidation,8.48,0.0,0.0,7.0,0.0,6704.0,50.4%,27.0,5872.8,Fully Paid
1069356,1304250.0,6000.0, 36 months, 12.42%,200.5,B,B4,1 year,RENT,36852.0,Source Verified,debt_consolidation,10.62,0.0,1.0,7.0,0.0,7310.0,66.5%,12.0,1923.53,Fully Paid
1067573,1301955.0,9600.0, 36 months,  7.51%,298.67,A,A3,4 years,RENT,68004.0,Source Verified,other,6.63,0.0,0.0,6.0,0.0,2896.0,18.1%,11.0,311.56,Fully Paid
1069506,1304567.0,12000.0, 36 months,  7.90%,375.49,A,A4,10+ years,RENT,62300.0,Not Verified,debt_consolidation,16.7,0.0,0.0,15.0,0.0,8601.0,21%,25.0,380.98,Fully Paid
1069314,1304202.0,3000.0, 36 months, 18.25%,108.84,D,D5,9 years,MORTGAGE,65000.0,Not Verified,other,17.39,0.0,0.0,8.0,0.0,43936.0,98.1%,22.0,115.38,Fully Paid
1060578,1292332.0,4400.0, 36 months, 16.77%,156.37,D,D2,10+ years,RENT,55000.0,Not Verified,debt_consolidation,20.01,0.0,0.0,7.0,0.0,25237.0,99%,11.0,162.44,Fully Paid
1069469,1304526.0,6000.0, 36 months,  6.03%,182.62,A,A1,10+ years,MORTGAGE,45600.0,Not Verified,debt_consolidation,5.34,0.0,1.0,6.0,0.0,3378.0,32.5%,28.0,15.01,Fully Paid
1051117,1282787.0,14000.0, 36 months,  9.91%,451.15,B,B1,6 years,RENT,80000.0,Not Verified,small_business,10.0,0.0,1.0,7.0,0.0,2219.0,13.4%,40.0,457.91,Fully Paid
1069465,1304521.0,5000.0, 36 months,  8.90%,158.77,A,A5,10+ years,MORTGAGE,100000.0,Source Verified,debt_consolidation,16.33,0.0,0.0,17.0,0.0,74351.0,62.1%,35.0,158.77,Charged Off
1069283,1304166.0,10000.0, 36 months, 10.65%,325.74,B,B2,6 years,RENT,27000.0,Verified,other,11.47,0.0,0.0,7.0,0.0,7814.0,52.3%,10.0,332.92,Fully Paid
1069287,1304171.0,10000.0, 36 months,  6.03%,304.36,A,A1,10+ years,RENT,60000.0,Not Verified,credit_card,12.74,0.0,1.0,11.0,0.0,14019.0,19.5%,18.0,8762.05,Fully Paid
1069453,1303701.0,11000.0, 36 months,  6.62%,337.75,A,A2,5 years,RENT,70000.0,Not Verified,debt_consolidation,10.85,0.0,0.0,5.0,0.0,11638.0,36.4%,7.0,346.13,Fully Paid
1069248,1304123.0,15000.0, 36 months,  9.91%,483.38,B,B1,8 years,MORTGAGE,80000.0,Not Verified,debt_consolidation,9.12,0.0,2.0,9.0,0.0,11845.0,63.7%,28.0,483.38,Charged Off
1068120,1302485.0,25600.0, 36 months,  9.91%,824.96,B,B1,9 years,RENT,110000.0,Verified,credit_card,15.71,0.0,0.0,11.0,0.0,26088.0,62%,27.0,838.27,Fully Paid
1069244,1304117.0,7000.0, 36 months, 10.65%,228.02,B,B2,< 1 year,RENT,40000.0,Not Verified,debt_consolidation,7.38,0.0,0.0,7.0,0.0,12168.0,92.9%,12.0,240.27,Fully Paid
1069243,1304116.0,12000.0, 36 months, 15.96%,421.65,C,C5,4 years,RENT,50000.0,Not Verified,car,20.88,0.0,2.0,11.0,0.0,15793.0,90.8%,11.0,421.65,Charged Off
1069238,1303909.0,12000.0, 36 months,  9.91%,386.7,B,B1,1 year,RENT,46000.0,Not Verified,credit_card,8.11,0.0,1.0,11.0,0.0,12143.0,52.1%,12.0,964.73,Fully Paid
1069410,1303652.0,21000.0, 60 months, 19.91%,555.33,E,E4,7 years,RENT,50000.0,Verified,debt_consolidation,21.58,0.0,1.0,7.0,0.0,19448.0,97.6%,14.0,555.33,Charged Off
1068409,1302790.0,16000.0, 60 months, 19.91%,423.11,E,E4,7 years,RENT,81000.0,Verified,credit_card,20.52,0.0,3.0,12.0,0.0,27884.0,75.1%,21.0,9931.02,Fully Paid
1068487,1302882.0,10000.0, 36 months, 12.42%,334.16,B,B4,< 1 year,OWN,39000.0,Not Verified,debt_consolidation,18.58,0.0,0.0,5.0,0.0,12874.0,72.7%,10.0,5803.94,Fully Paid
1043961,1274517.0,10000.0, 36 months, 10.65%,325.74,B,B2,2 years,RENT,51400.0,Not Verified,credit_card,19.14,0.0,3.0,10.0,0.0,10160.0,59.1%,24.0,8627.74,Fully Paid
1068945,1287308.0,7100.0, 36 months, 16.77%,252.33,D,D2,1 year,MORTGAGE,33000.0,Verified,debt_consolidation,24.0,0.0,2.0,4.0,0.0,6021.0,91.2%,8.0,262.78,Fully Paid
1069142,1287810.0,13000.0, 60 months, 12.69%,293.74,B,B5,< 1 year,MORTGAGE,30000.0,Source Verified,debt_consolidation,13.72,0.0,0.0,17.0,0.0,17080.0,58.9%,27.0,3596.46,Fully Paid
1068934,1277395.0,17500.0, 60 months, 17.27%,223.74,D,D3,6 years,RENT,40000.0,Verified,small_business,19.47,0.0,1.0,5.0,0.0,10724.0,58.9%,6.0,2487.58,Fully Paid
1069136,1278095.0,17675.0, 60 months, 14.65%,417.25,C,C3,< 1 year,RENT,50000.0,Source Verified,debt_consolidation,16.46,0.0,2.0,6.0,0.0,6661.0,57.4%,14.0,13814.81,Fully Paid
1068923,1303549.0,8000.0, 36 months, 16.77%,284.31,D,D2,< 1 year,RENT,62000.0,Not Verified,debt_consolidation,21.64,0.0,3.0,14.0,0.0,6088.0,66.9%,20.0,606.54,Fully Paid
1069126,1303778.0,10000.0, 60 months, 10.65%,215.69,B,B2,10+ years,RENT,45996.0,Verified,debt_consolidation,21.73,0.0,1.0,7.0,0.0,11170.0,30.1%,15.0,1.0,Charged Off
1069102,1303750.0,3500.0, 36 months, 10.65%,114.01,B,B2,7 years,MORTGAGE,55000.0,Not Verified,debt_consolidation,5.39,0.0,1.0,9.0,0.0,6611.0,45.9%,12.0,118.32,Fully Paid
1069093,1303740.0,12500.0, 60 months, 17.27%,223.11,D,D3,5 years,RENT,30000.0,Source Verified,debt_consolidation,13.16,0.0,0.0,7.0,1.0,9844.0,70.8%,28.0,223.11,Charged Off
1069030,1303473.0,16425.0, 36 months, 14.27%,563.53,C,C2,4 years,RENT,44544.0,Source Verified,debt_consolidation,22.71,0.0,1.0,10.0,0.0,15747.0,83.4%,18.0,13108.71,Fully Paid
1068906,1303528.0,8200.0, 60 months, 21.28%,223.14,F,F2,4 years,RENT,75000.0,Source Verified,small_business,12.48,0.0,3.0,6.0,0.0,9012.0,73.9%,11.0,223.14,Charged Off
1069073,1303718.0,15000.0, 36 months, 14.65%,517.42,C,C3,2 years,OWN,61000.0,Verified,credit_card,11.88,0.0,1.0,8.0,0.0,19397.0,79.5%,18.0,2533.38,Fully Paid
1069043,1303486.0,20975.0, 60 months, 17.58%,341.63,D,D4,5 years,MORTGAGE,44000.0,Verified,credit_card,18.79,0.0,0.0,13.0,1.0,20657.0,79.4%,21.0,9245.21,Fully Paid
1060981,1292558.0,6400.0, 36 months, 16.77%,227.45,D,D2,5 years,RENT,75000.0,Not Verified,debt_consolidation,20.22,0.0,0.0,9.0,0.0,7159.0,67.5%,27.0,227.45,Charged Off
1069071,1303716.0,3000.0, 36 months, 13.49%,101.8,C,C1,1 year,RENT,33600.0,Not Verified,debt_consolidation,18.11,0.0,0.0,4.0,0.0,2745.0,83.2%,7.0,2539.58,Fully Paid
1069070,1299004.0,12000.0, 36 months, 16.77%,426.47,D,D2,3 years,RENT,50000.0,Not Verified,credit_card,20.57,0.0,1.0,13.0,0.0,11443.0,97%,19.0,441.52,Fully Paid
1068893,1303514.0,14400.0, 36 months,  8.90%,457.25,A,A5,< 1 year,OWN,150000.0,Source Verified,debt_consolidation,14.85,0.0,0.0,12.0,0.0,63864.0,55%,38.0,464.02,Fully Paid
1068882,1303303.0,12000.0, 36 months, 14.65%,413.94,C,C3,10+ years,RENT,90000.0,Not Verified,debt_consolidation,16.56,0.0,2.0,12.0,0.0,17116.0,78.5%,36.0,11046.6,Fully Paid
1069039,1303482.0,11000.0, 36 months, 13.49%,373.24,C,C1,10+ years,MORTGAGE,48000.0,Verified,debt_consolidation,21.82,0.0,3.0,15.0,0.0,11382.0,65%,29.0,1491.29,Fully Paid
1068416,1302799.0,7250.0, 60 months, 21.67%,197.51,F,F3,< 1 year,RENT,75000.0,Verified,debt_consolidation,24.82,0.0,2.0,9.0,1.0,21706.0,91.2%,19.0,6824.7,Fully Paid
1068997,1303437.0,15000.0, 36 months,  7.90%,469.36,A,A4,1 year,MORTGAGE,52000.0,Not Verified,small_business,9.65,0.0,1.0,11.0,0.0,1616.0,6.7%,29.0,312.74,Fully Paid
1048390,1279714.0,18000.0, 60 months, 19.91%,475.99,E,E4,10+ years,MORTGAGE,65000.0,Not Verified,debt_consolidation,6.81,0.0,0.0,10.0,0.0,11745.0,77.8%,40.0,10783.73,Fully Paid
1068994,1303432.0,35000.0, 60 months, 17.27%,551.84,D,D3,3 years,MORTGAGE,150000.0,Verified,home_improvement,7.51,0.0,1.0,11.0,0.0,7334.0,53.3%,31.0,15660.22,Fully Paid
1068475,1302869.0,10000.0, 36 months, 14.27%,343.09,C,C2,2 years,RENT,68000.0,Source Verified,credit_card,15.39,0.0,1.0,9.0,0.0,11303.0,81.3%,15.0,8962.31,Fully Paid
1068989,1282013.0,11800.0, 36 months, 12.69%,395.83,B,B5,6 years,RENT,42000.0,Source Verified,credit_card,9.86,0.0,0.0,4.0,0.0,8940.0,74.8%,13.0,419.36,Fully Paid
1068967,1303403.0,4500.0, 36 months,  6.03%,136.96,A,A1,4 years,RENT,53000.0,Source Verified,major_purchase,4.44,0.0,0.0,7.0,0.0,8630.0,13.9%,17.0,138.95,Fully Paid
1068744,1303379.0,7000.0, 36 months, 12.69%,234.82,B,B5,10+ years,RENT,35000.0,Source Verified,credit_card,11.35,0.0,2.0,10.0,0.0,7649.0,82.3%,26.0,248.19,Fully Paid
1045509,1276120.0,9200.0, 36 months, 12.42%,307.43,B,B4,2 years,RENT,60000.0,Source Verified,debt_consolidation,19.96,0.0,3.0,8.0,0.0,23299.0,78.7%,19.0,365.48,Fully Paid
1041756,1272024.0,4500.0, 60 months, 10.65%,97.06,B,B2,< 1 year,MORTGAGE,42000.0,Source Verified,car,5.4,0.0,0.0,4.0,0.0,8220.0,78.3%,9.0,3946.24,Fully Paid
1068694,1303326.0,12000.0, 36 months, 16.29%,423.61,D,D1,9 years,RENT,88365.0,Verified,debt_consolidation,16.85,0.0,0.0,6.0,0.0,22936.0,96.4%,15.0,5800.45,Fully Paid
1068792,1303200.0,12000.0, 36 months, 13.49%,407.17,C,C1,4 years,RENT,72000.0,Source Verified,debt_consolidation,21.33,0.0,1.0,11.0,0.0,3419.0,27.6%,19.0,426.26,Fully Paid
1068558,1303163.0,12000.0, 36 months, 10.65%,390.88,B,B2,< 1 year,RENT,62000.0,Verified,credit_card,23.94,0.0,0.0,10.0,0.0,20310.0,78.4%,51.0,10046.57,Fully Paid
1068322,1302938.0,7000.0, 36 months, 10.65%,228.02,B,B2,3 years,MORTGAGE,43680.0,Not Verified,credit_card,5.38,0.0,0.0,7.0,0.0,6245.0,78.1%,11.0,4958.61,Fully Paid
1065674,1299785.0,8200.0, 60 months, 19.42%,214.62,E,E3,3 years,RENT,120000.0,Source Verified,debt_consolidation,2.8,0.0,2.0,5.0,0.0,10392.0,88.4%,6.0,4625.07,Fully Paid
1068547,1303150.0,10500.0, 36 months, 12.69%,352.23,B,B5,10+ years,RENT,66000.0,Verified,medical,20.73,1.0,2.0,8.0,0.0,5790.0,51.2%,26.0,4421.32,Fully Paid
1068545,1303147.0,7000.0, 36 months, 11.71%,231.54,B,B3,4 years,OWN,39120.0,Not Verified,debt_consolidation,21.01,0.0,0.0,8.0,1.0,9414.0,52.4%,26.0,4235.03,Fully Paid
1049528,1280928.0,20000.0, 60 months, 11.71%,282.86,B,B3,4 years,MORTGAGE,47800.0,Verified,debt_consolidation,10.04,0.0,0.0,15.0,0.0,16447.0,46.3%,27.0,9242.39,Fully Paid
1068542,1303143.0,17500.0, 60 months, 17.27%,437.47,D,D3,7 years,MORTGAGE,45000.0,Not Verified,credit_card,21.31,0.0,2.0,13.0,0.0,20129.0,86.1%,26.0,437.47,Charged Off
1068350,1302971.0,3500.0, 36 months,  6.03%,106.53,A,A1,10+ years,MORTGAGE,83000.0,Verified,car,2.31,0.0,0.0,6.0,0.0,3092.0,13.4%,28.0,107.86,Fully Paid
1068509,1302907.0,6200.0, 36 months,  9.91%,199.8,B,B1,2 years,RENT,25000.0,Not Verified,debt_consolidation,20.64,0.0,2.0,7.0,0.0,6533.0,47.7%,12.0,199.8,Charged Off
1034693,1264291.0,16000.0, 60 months, 17.58%,402.65,D,D4,7 years,RENT,65000.0,Not Verified,debt_consolidation,15.56,0.0,0.0,8.0,0.0,21166.0,87.1%,16.0,3073.26,Fully Paid
1068508,1302906.0,6000.0, 36 months,  8.90%,190.52,A,A5,8 years,OWN,28800.0,Not Verified,debt_consolidation,13.17,0.0,0.0,11.0,0.0,5269.0,36.8%,13.0,198.47,Fully Paid
1066641,1300833.0,7200.0, 36 months,  9.91%,232.02,B,B1,6 years,RENT,135000.0,Not Verified,credit_card,6.12,0.0,0.0,7.0,0.0,16627.0,79.6%,18.0,240.64,Fully Paid
1068315,1302930.0,9500.0, 36 months,  8.90%,301.66,A,A5,7 years,MORTGAGE,50000.0,Not Verified,credit_card,8.18,0.0,0.0,8.0,0.0,13422.0,60.5%,13.0,5378.43,Fully Paid
1068309,1302924.0,18825.0, 60 months, 16.77%,465.53,D,D2,10+ years,RENT,38000.0,Verified,debt_consolidation,23.18,0.0,0.0,6.0,0.0,11004.0,79.7%,7.0,465.53,Charged Off
1068326,1302942.0,24000.0, 36 months, 10.65%,781.76,B,B2,10+ years,RENT,45000.0,Verified,debt_consolidation,14.8,0.0,0.0,5.0,0.0,24708.0,55.2%,9.0,791.58,Fully Paid
1066767,1300950.0,6000.0, 36 months, 13.49%,203.59,C,C1,10+ years,RENT,80000.0,Not Verified,debt_consolidation,11.58,0.0,0.0,8.0,0.0,15499.0,83.8%,16.0,212.86,Fully Paid
1068484,1302879.0,6000.0, 36 months, 13.49%,203.59,C,C1,5 years,RENT,50000.0,Not Verified,debt_consolidation,15.38,0.0,1.0,6.0,0.0,15191.0,91.5%,7.0,214.39,Fully Paid
1068292,1302706.0,2100.0, 36 months, 12.42%,70.18,B,B4,10+ years,MORTGAGE,30000.0,Not Verified,vacation,19.72,0.0,1.0,12.0,0.0,12183.0,82.9%,26.0,72.44,Fully Paid
1068273,1302680.0,5500.0, 36 months,  6.62%,168.88,A,A2,8 years,MORTGAGE,110000.0,Verified,small_business,9.69,0.0,0.0,7.0,0.0,14136.0,21.9%,26.0,178.58,Fully Paid
1068274,1302681.0,11000.0, 36 months,  6.62%,337.75,A,A2,8 years,OWN,45608.0,Source Verified,debt_consolidation,20.5,0.0,0.0,7.0,0.0,10677.0,58.7%,11.0,349.86,Fully Paid
1068440,1302831.0,26800.0, 60 months, 20.89%,723.38,F,F1,3 years,MORTGAGE,120000.0,Verified,debt_consolidation,12.15,0.0,0.0,13.0,0.0,14772.0,48%,18.0,23499.05,Fully Paid
1046456,1277297.0,8000.0, 36 months, 12.69%,268.36,B,B5,5 years,MORTGAGE,35000.0,Not Verified,debt_consolidation,10.05,0.0,0.0,7.0,0.0,6842.0,97.7%,18.0,5514.5,Fully Paid
1068012,1302365.0,10000.0, 36 months, 18.25%,362.78,D,D5,1 year,RENT,75000.0,Source Verified,credit_card,24.14,0.0,0.0,9.0,0.0,22828.0,96.3%,26.0,200.0,Charged Off
1055725,1287293.0,8000.0, 36 months, 11.71%,264.61,B,B3,9 years,MORTGAGE,35000.0,Verified,credit_card,9.7,0.0,0.0,7.0,0.0,6142.0,46.5%,8.0,2295.56,Fully Paid
1061814,1293438.0,10000.0, 36 months,  8.90%,317.54,A,A5,6 years,RENT,24000.0,Verified,debt_consolidation,7.0,0.0,0.0,6.0,0.0,6734.0,49.5%,21.0,6743.26,Fully Paid
1068232,1302622.0,12000.0, 36 months, 11.71%,396.92,B,B3,2 years,MORTGAGE,126000.0,Not Verified,debt_consolidation,13.32,0.0,0.0,17.0,0.0,32711.0,54.1%,38.0,3074.04,Fully Paid
1068405,1302785.0,10000.0, 36 months,  7.90%,312.91,A,A4,1 year,RENT,43000.0,Not Verified,debt_consolidation,25.26,0.0,0.0,8.0,0.0,8215.0,37.2%,16.0,4.84,Fully Paid
1068395,1302773.0,12000.0, 36 months,  9.91%,386.7,B,B1,1 year,RENT,50000.0,Not Verified,debt_consolidation,16.44,0.0,1.0,11.0,0.0,14335.0,29.3%,25.0,392.03,Fully Paid
1068202,1302588.0,25000.0, 60 months, 13.49%,575.12,C,C1,10+ years,MORTGAGE,67000.0,Verified,credit_card,14.15,0.0,0.0,6.0,0.0,15319.0,91.2%,21.0,1179.0,Charged Off
1068006,1302360.0,19750.0, 36 months, 10.65%,643.33,B,B2,4 years,RENT,45000.0,Verified,debt_consolidation,22.8,0.0,0.0,12.0,0.0,16576.0,54.2%,28.0,787.01,Charged Off
1068075,1302430.0,10000.0, 36 months,  9.91%,322.25,B,B1,3 years,RENT,31200.0,Source Verified,debt_consolidation,14.81,0.0,0.0,13.0,0.0,5540.0,27%,19.0,6912.69,Fully Paid
1065642,1299748.0,13650.0, 36 months, 12.42%,456.12,B,B4,4 years,RENT,66000.0,Verified,debt_consolidation,24.09,0.0,0.0,11.0,0.0,8933.0,56.5%,34.0,5980.83,Fully Paid
1068179,1302564.0,28000.0, 60 months, 19.91%,312.04,E,E4,10+ years,RENT,52000.0,Verified,debt_consolidation,20.7,0.0,0.0,10.0,0.0,29178.0,87.6%,16.0,312.04,Charged Off
1068158,1302728.0,18000.0, 36 months,  7.90%,563.23,A,A4,10+ years,RENT,56964.0,Source Verified,debt_consolidation,27.55,0.0,0.0,7.0,0.0,17381.0,76.6%,20.0,567.29,Fully Paid
1068180,1302565.0,2500.0, 36 months, 14.27%,85.78,C,C2,7 years,RENT,49500.0,Source Verified,debt_consolidation,10.33,0.0,1.0,7.0,0.0,9868.0,37.7%,20.0,2530.74,Fully Paid
1065673,1299784.0,21000.0, 60 months, 20.30%,559.89,E,E5,10+ years,RENT,70000.0,Verified,credit_card,23.21,0.0,2.0,17.0,0.0,12508.0,70.7%,25.0,17029.75,Fully Paid
1068159,1302729.0,35000.0, 36 months,  8.90%,1111.37,A,A5,6 years,MORTGAGE,125000.0,Verified,debt_consolidation,22.71,0.0,0.0,8.0,0.0,9051.0,34.8%,32.0,1123.85,Fully Paid
1068165,1302549.0,10000.0, 36 months,  7.51%,311.11,A,A3,3 years,RENT,33000.0,Not Verified,credit_card,9.75,0.0,1.0,9.0,0.0,68.0,0.6%,19.0,4190.34,Fully Paid
1059689,1291305.0,7000.0, 36 months, 12.69%,234.82,B,B5,< 1 year,RENT,30000.0,Source Verified,credit_card,15.8,0.0,2.0,7.0,0.0,15455.0,47.6%,11.0,238.06,Fully Paid
1066215,1300572.0,24000.0, 36 months, 15.96%,843.3,C,C5,8 years,MORTGAGE,90000.0,Source Verified,home_improvement,9.17,0.0,1.0,9.0,0.0,30952.0,71.2%,23.0,843.3,Charged Off
1063270,1295780.0,10625.0, 36 months,  7.51%,330.56,A,A3,5 years,MORTGAGE,23000.0,Not Verified,medical,18.89,0.0,1.0,9.0,0.0,7114.0,43.4%,21.0,2594.01,Fully Paid
1067931,1302311.0,5000.0, 36 months, 14.65%,172.48,C,C3,2 years,RENT,24000.0,Source Verified,debt_consolidation,18.3,0.0,2.0,5.0,0.0,2429.0,33.3%,9.0,3615.46,Fully Paid
1067922,1302299.0,8850.0, 36 months,  6.62%,271.73,A,A2,10+ years,RENT,62000.0,Source Verified,credit_card,17.71,0.0,0.0,7.0,0.0,9466.0,35.9%,19.0,5.67,Fully Paid
